VDDH [V],L_n [um],gm_id_n [1/V],Wn [um],L_p [um],gm_id_p [1/V],Wp [um],A2 [V/V],Iq_total [A],Iq_scale,Power [mW],gm_n [S],gm_p [S],gm_total [S],rout [ohm],p2 [Hz],I_pk_available [A],Vout_CM [V],V_low_sat [V],V_high_sat [V],swing_actual [V],VGS_n [V],VGS_p [V],Vgate_n [V],Vgate_p [V],Vbias_pg_minus_ng [V],C_out_parasitic [pF]
1.6,0.15,12.90909090909091,23.713405993702594,0.15,15.454545454545453,36.75791929473075,34.363166670097236,0.000252,1.5,0.40320000000000006,0.0032530909090909095,0.0038945454545454544,0.007147636363636364,4807.626594564886,218099785.45458892,0.00252,0.8,0.07746478873239436,1.535294117647059,1.4578293289146647,0.6075396108522759,0.5686792359292226,0.6075396108522759,1.0313207640707773,0.4237811532185014,0.030437986383686777
1.6,0.15,12.90909090909091,23.713405993702594,0.15,17.272727272727273,51.96129438513553,34.97371785783015,0.000252,1.5,0.40320000000000006,0.0032530909090909095,0.004352727272727273,0.007605818181818182,4598.284763292834,215298220.07795572,0.00252,0.8,0.07746478873239436,1.5421052631578949,1.4646404744255006,0.6075396108522759,0.5475154617169418,0.6075396108522759,1.0524845382830583,0.4449449274307824,0.038886985581054176
1.6,0.15,12.90909090909091,23.713405993702594,0.15,19.09090909090909,76.07563421911003,35.44213050286852,0.000252,1.5,0.40320000000000006,0.0032530909090909095,0.0048109090909090905,0.008064,4395.10546910572,205424097.79168984,0.00252,0.8,0.07746478873239436,1.5476190476190477,1.4701542588866534,0.6075396108522759,0.5265474534837198,0.6075396108522759,1.0734525465162803,0.4659129356640044,0.052264614536596324
1.6,0.15,12.90909090909091,23.713405993702594,0.15,20.909090909090907,117.16051001331563,35.81075818324858,0.000252,1.5,0.40320000000000006,0.0032530909090909095,0.005269090909090908,0.008522181818181818,4202.0645589662745,185147258.2112477,0.00252,0.8,0.07746478873239436,1.5521739130434784,1.4747091243110841,0.6075396108522759,0.5049629081998241,0.6075396108522759,1.095037091800176,0.4874974809479,0.07501413701624081
1.6,0.15,12.90909090909091,23.713405993702594,0.15,22.727272727272727,192.9555414054866,36.16602180029713,0.000252,1.5,0.40320000000000006,0.0032530909090909095,0.005727272727272727,0.008980363636363637,4027.23355809917,151325678.67826477,0.00252,0.8,0.07746478873239436,1.556,1.4785352112676058,0.6075396108522759,0.48210152514385446,0.6075396108522759,1.1178984748561456,0.5103588640038697,0.11689863318026729
1.6,0.15,12.90909090909091,23.713405993702594,0.15,24.545454545454547,344.72511172849335,36.634785601451476,0.000252,1.5,0.40320000000000006,0.0032530909090909095,0.006185454545454546,0.009438545454545456,3881.4016182767587,103710166.54953724,0.00252,0.8,0.07746478873239436,1.5592592592592593,1.481794470526865,0.6075396108522759,0.45756131020998114,0.6075396108522759,1.142438689790019,0.534899078937743,0.20058488393000187
1.6,0.15,14.636363636363637,38.90265328944865,0.15,10.0,14.193245761086628,32.032837375475104,0.000252,1.5,0.40320000000000006,0.0036883636363636363,0.00252,0.006208363636363637,5159.6264735287605,208858919.17439368,0.00252,0.8,0.06832298136645963,1.5,1.4316770186335404,0.5715794365047406,0.6445217838836491,0.5715794365047406,0.955478216116351,0.38389877961161034,0.02409892448771809
1.6,0.15,14.636363636363637,38.90265328944865,0.15,11.818181818181818,19.4283006854349,33.04713674922537,0.000252,1.5,0.40320000000000006,0.0036883636363636363,0.002978181818181818,0.0066665454545454545,4957.160642577307,215573193.62631106,0.00252,0.8,0.06832298136645963,1.5153846153846156,1.447061634018156,0.5715794365047406,0.6156594999126472,0.5715794365047406,0.9843405000873529,0.4127610635826122,0.027022590584871574
1.6,0.15,14.636363636363637,38.90265328944865,0.15,13.636363636363637,26.581211219591488,33.91462117967794,0.000252,1.5,0.40320000000000006,0.0036883636363636363,0.0034363636363636363,0.007124727272727272,4760.129038131697,219994723.02866992,0.00252,0.8,0.06832298136645963,1.5266666666666668,1.4583436853002072,0.5715794365047406,0.5909869016630518,0.5715794365047406,1.0090130983369483,0.43743366183220767,0.031010814949681956
1.6,0.15,14.636363636363637,38.90265328944865,0.15,15.454545454545453,36.75791929473075,34.63223538107603,0.000252,1.5,0.40320000000000006,0.0036883636363636363,0.0038945454545454544,0.007582909090909091,4567.143686661827,221481351.38997853,0.00252,0.8,0.06832298136645963,1.535294117647059,1.4669711362805993,0.5715794365047406,0.5686792359292226,0.5715794365047406,1.0313207640707773,0.4597413275660367,0.036675791342828015
